OV702597	SAMEA12363696
OM570962	SAMN25729174
OM890158	SAMN26352758
OM496135	SAMN25534776
OM622804	SAMN25736495
OM561125	SAMN25701068
ON293806	SAMN27633464
OM284167	SAMN24978977
OM860899	SAMN26306340
OM860912	SAMN26306338
OV671185	SAMEA11767071
OM645697	SAMN25850655
OM882967	SAMN26349188
OM277803	SAMN25000109
OM570934	SAMN25729192
OM334994	SAMN25156374
OM448587	SAMN25416845
OM517365	SAMN25647806
OM789925	SAMN26145921
OV673732	SAMEA11754016
OV653184	SAMEA11770798
OM190970	SAMN24730788
OM571064	SAMN25729180
OM449969	SAMN25417931
OM517486	SAMN25647063
OM263939	SAMN24900630
OM399711	SAMN25276245
OV428940	SAMEA12028966
OM229211	SAMN24698077
OM229214	SAMN24698164
OM229699	SAMN24781411
OM229830	SAMN24698206
OM229981	SAMN24698265
OM901205	SAMN26376724
OM061383	SAMN24500336
OM618870	SAMN25766590
ON079916	SAMN27011812
OM644451	SAMN25848590
OM103733	SAMN24588046
OM103737	SAMN24588053
OM947363	SAMN26532325
OM321869	SAMN25134524
OM321826	SAMN25134592
OM420567	SAMN25280467
OM420610	SAMN25280485
OM420638	SAMN25280496
OM420622	SAMN25280522
OM456449	SAMN25513788
OM456440	SAMN25513802
OM456490	SAMN25513809
OM456478	SAMN25513836
OM456475	SAMN25513844
OM456383	SAMN25513880
OM456412	SAMN25513882
OM456416	SAMN25513891
OM456393	SAMN25513894
OM738276	SAMN26026007
OM738307	SAMN26026035
OM799915	SAMN26196789
OM103747	SAMN24588043
OM321948	SAMN25134430
OM339835	SAMN25125268
OM228894	SAMN24781267
OM297316	SAMN25011961
OM280018	SAMN25028548
OM255327	SAMN24910233
OM060918	SAMN24500394
OM260970	SAMN24914961
OM563722	SAMN25702104
OM260829	SAMN24915953
OM260832	SAMN24915932
OM348100	SAMN25185047
OM321858	SAMN25134547
OM456462	SAMN25513850
OM456403	SAMN25513890
OM799897	SAMN26196767
OM103712	SAMN24526287
OM618890	SAMN25766224
OM103739	SAMN24588025
OM321880	SAMN25134401
OM948473	SAMN26532026
OM561590	SAMN25700950
ON151148	SAMN27303630
OM079904	SAMN24503847
OM571076	SAMN25729112
OM321840	SAMN25134538
OM321789	SAMN25134558
OM321806	SAMN25134568
OM321787	SAMN25134570
OM321812	SAMN25134578
